Transaction_ID,Order_ID,Revenue,Profit,Discount
T00169,O00169,9293,3881.13,0.2
T00170,O00170,3130,524.19,0.11
T00171,O00171,8850,3274.71,0.0
T00172,O00172,5472,1509.65,0.04
T00173,O00173,6901,1818.39,0.11
T00174,O00174,505,120.19,0.1
T00175,O00175,4426,1178.69,0.02
T00176,O00176,6929,1051.15,0.09
T00177,O00177,5210,896.53,0.03
T00178,O00178,6814,3030.06,0.11
T00179,O00179,5063,1424.08,0.15
T00180,O00180,7210,1815.11,0.12
T00181,O00181,5268,1518.61,0.01
T00182,O00182,2985,719.21,0.11
T00183,O00183,2688,1078.43,0.11
T00184,O00184,6844,2314.65,0.06
T00185,O00185,900,168.27,0.17
T00186,O00186,6702,1657.25,0.02
T00187,O00187,9186,3633.86,0.18
T00188,O00188,8681,3081.86,0.12
T00189,O00189,7431,3033.32,0.02
T00190,O00190,4387,1540.42,0.16
T00191,O00191,3263,529.59,0.1
T00192,O00192,2712,516.29,0.04
T00193,O00193,6699,2814.46,0.01
T00194,O00194,6172,1425.5,0.18
T00195,O00195,5517,2419.69,0.11
T00196,O00196,6509,1038.78,0.1
T00197,O00197,8346,3460.92,0.18
T00198,O00198,7442,2034.04,0.16
T00199,O00199,6242,1699.3,0.0
T00200,O00200,5373,1084.29,0.09
T00201,O00201,7292,1413.27,0.12
T00202,O00202,6987,1827.63,0.1
T00203,O00203,3549,1273.76,0.07
T00204,O00204,9209,3470.48,0.19
T00205,O00205,7470,2509.06,0.07
T00206,O00206,4106,1040.85,0.2
T00207,O00207,2234,859.67,0.02
T00208,O00208,1656,256.28,0.13
T00209,O00209,1846,815.23,0.15
T00210,O00210,7455,2139.1,0.14
T00211,O00211,6694,1354.43,0.18
T00212,O00212,8512,3434.55,0.07
T00213,O00213,4469,1872.98,0.16
T00214,O00214,5584,1721.03,0.14
T00215,O00215,3736,605.21,0.13
T00216,O00216,5145,1534.3,0.12
T00217,O00217,1616,302.65,0.2
T00218,O00218,1091,471.07,0.11
T00219,O00219,4563,801.56,0.1
T00220,O00220,3515,1259.72,0.02
T00221,O00221,4800,1784.39,0.05
T00222,O00222,7691,3039.11,0.15
T00223,O00223,3727,847.23,0.07
T00224,O00224,8499,2729.69,0.16
T00225,O00225,6618,1563.02,0.11
T00226,O00226,2597,592.4,0.03
T00227,O00227,5385,1889.33,0.18
T00228,O00228,9184,1981.05,0.11
T00229,O00229,9491,4102.04,0.02
T00230,O00230,4826,1179.72,0.0
T00231,O00231,7428,1495.67,0.11
T00232,O00232,562,200.6,0.13
T00233,O00233,6263,1755.44,0.03
T00234,O00234,3844,1301.06,0.15
T00235,O00235,5196,805.67,0.11
T00236,O00236,2913,1140.48,0.02
T00237,O00237,1710,766.67,0.13
T00238,O00238,532,234.18,0.1
T00239,O00239,8656,2192.56,0.06
T00240,O00240,893,219.32,0.07
T00241,O00241,9325,3902.15,0.16
T00242,O00242,8783,3501.17,0.05
T00243,O00243,588,136.68,0.15
T00244,O00244,6368,1458.53,0.06
T00245,O00245,6108,1547.55,0.16
T00246,O00246,811,204.43,0.09
T00247,O00247,4636,930.2,0.19
T00248,O00248,5946,2225.49,0.18
T00249,O00249,583,125.51,0.08
T00250,O00250,725,121.06,0.2
T00251,O00251,8405,2562.52,0.03
T00252,O00252,8586,3321.85,0.09
T00253,O00253,8259,2508.43,0.17
T00254,O00254,9642,3166.57,0.06
T00255,O00255,6910,2294.82,0.12
T00256,O00256,4619,1827.7,0.06
T00257,O00257,5500,1034.71,0.05
T00258,O00258,3257,668.01,0.02
T00259,O00259,9328,2873.95,0.16
T00260,O00260,8750,1776.36,0.02
T00261,O00261,604,166.89,0.13
T00262,O00262,9430,2472.01,0.16
T00263,O00263,7536,2481.4,0.18
T00264,O00264,982,155.66,0.15
T00265,O00265,5965,922.43,0.15
T00266,O00266,2191,710.77,0.15
T00267,O00267,8739,2973.19,0.17
T00268,O00268,3849,1572.15,0.18
T00269,O00269,1045,416.82,0.01
T00270,O00270,4201,1008.84,0.04
T00271,O00271,3239,688.25,0.05
T00272,O00272,4534,953.37,0.06
T00273,O00273,1988,628.67,0.04
T00274,O00274,1893,480.68,0.11
T00275,O00275,7043,2295.82,0.02
T00276,O00276,5256,1457.08,0.13
T00277,O00277,692,205.42,0.16
T00278,O00278,2230,741.01,0.09
T00279,O00279,3498,1345.22,0.05
T00280,O00280,7167,1473.72,0.09
T00281,O00281,3599,768.39,0.18
T00282,O00282,7219,3070.9,0.04
T00283,O00283,769,191.38,0.09
T00284,O00284,9105,1527.94,0.01
T00285,O00285,1012,211.25,0.1
T00286,O00286,8333,3090.23,0.11
T00287,O00287,3426,1508.06,0.17
T00288,O00288,6900,1047.15,0.17
T00289,O00289,1316,282.24,0.01
T00290,O00290,1811,618.97,0.05
T00291,O00291,4085,1806.54,0.15
T00292,O00292,4198,1203.16,0.02
T00293,O00293,5058,1014.24,0.03
T00294,O00294,554,178.98,0.03
T00295,O00295,6326,1031.7,0.14
T00296,O00296,6466,1355.96,0.1
T00297,O00297,1540,482.21,0.1
T00298,O00298,8399,3189.34,0.02
T00299,O00299,3482,1124.39,0.16
T00300,O00300,2125,335.39,0.15
T00301,O00301,6440,1474.92,0.04
T00302,O00302,5645,1535.49,0.15
T00303,O00303,9162,4006.65,0.17
T00304,O00304,6791,1125.12,0.18
T00305,O00305,7959,3132.12,0.1
T00306,O00306,1400,602.85,0.18
T00307,O00307,1648,704.4,0.11
T00308,O00308,2575,579.39,0.18
T00309,O00309,2454,521.08,0.16
T00310,O00310,4777,983.21,0.06
T00311,O00311,8249,1642.41,0.05
T00312,O00312,3556,543.65,0.09
T00313,O00313,3314,1366.71,0.06
T00314,O00314,9376,3021.17,0.14
T00315,O00315,8134,1419.99,0.07
T00316,O00316,6838,2414.87,0.19
T00317,O00317,2960,1001.66,0.18
T00318,O00318,2697,1183.11,0.0
T00319,O00319,9367,1877.59,0.03
T00320,O00320,6095,1084.87,0.02
T00321,O00321,1847,686.21,0.01
T00322,O00322,2832,513.23,0.02
T00323,O00323,8056,2439.81,0.15
T00324,O00324,4959,926.66,0.12
T00325,O00325,4840,1501.63,0.0
T00326,O00326,7888,1378.29,0.1
T00327,O00327,9025,2957.57,0.15
T00328,O00328,2195,353.7,0.18
T00329,O00329,3184,1161.83,0.13
T00330,O00330,6232,1858.68,0.09
T00331,O00331,1077,408.23,0.13
T00332,O00332,2025,904.26,0.11
T00333,O00333,9704,3192.43,0.03
T00334,O00334,3827,633.84,0.18
T00335,O00335,6981,1334.6,0.11
T00336,O00336,5798,1881.68,0.08
T00337,O00337,5498,2324.15,0.17
T00338,O00338,6493,1690.68,0.11
T00339,O00339,8837,3700.56,0.12
T00340,O00340,2584,1122.22,0.18
T00341,O00341,4439,1623.26,0.03
T00342,O00342,8067,2858.74,0.16
T00343,O00343,4560,1787.36,0.16
T00344,O00344,8808,3817.43,0.14
T00345,O00345,3039,1168.69,0.11
T00346,O00346,6275,1855.49,0.13
T00347,O00347,7633,2041.04,0.17
T00348,O00348,8482,1466.52,0.07
T00349,O00349,5741,1624.82,0.01
T00350,O00350,3975,1774.68,0.14
T00351,O00351,1178,301.7,0.02
T00352,O00352,5025,1540.24,0.03
T00353,O00353,8480,1344.53,0.19
T00354,O00354,1375,559.79,0.15
T00355,O00355,5106,1176.78,0.09
T00356,O00356,5774,1699.7,0.14
T00357,O00357,4030,649.41,0.14
T00358,O00358,7426,2588.59,0.03
T00359,O00359,4853,1422.46,0.15
T00360,O00360,9960,1960.69,0.08
T00361,O00361,7148,1119.93,0.04
T00362,O00362,8056,1739.27,0.1
T00363,O00363,3684,1438.03,0.16
T00364,O00364,3414,1086.04,0.02
T00365,O00365,2762,829.95,0.18
T00366,O00366,9110,3240.25,0.0
T00367,O00367,2917,1155.83,0.08
T00368,O00368,6320,1179.0,0.15
T00369,O00369,9012,2768.67,0.1
T00370,O00370,6762,2980.42,0.05
T00371,O00371,6005,2311.55,0.18
T00372,O00372,5775,1066.48,0.02
T00373,O00373,3261,952.27,0.17
T00374,O00374,1556,468.25,0.16
T00375,O00375,8575,3529.25,0.03
T00376,O00376,8874,3547.02,0.16
T00377,O00377,5163,1054.84,0.04
T00378,O00378,4313,1190.04,0.08
T00379,O00379,2676,744.99,0.11
T00380,O00380,8792,3641.86,0.0
T00381,O00381,3955,1447.69,0.08
T00382,O00382,5837,2016.1,0.04
T00383,O00383,6462,1106.05,0.09
T00384,O00384,9888,3161.22,0.15
T00385,O00385,6632,2685.7,0.1
T00386,O00386,4404,1348.14,0.02
T00387,O00387,4548,905.11,0.12
T00388,O00388,786,194.47,0.13
T00389,O00389,2581,540.17,0.18
T00390,O00390,9251,3382.91,0.03
T00391,O00391,8893,3193.34,0.13
T00392,O00392,4798,1270.39,0.17
T00393,O00393,8132,3598.69,0.09
T00394,O00394,8496,2858.69,0.1
T00395,O00395,7149,1235.68,0.07
T00396,O00396,8616,2717.39,0.14
T00397,O00397,9413,3974.52,0.2
T00398,O00398,8399,3567.24,0.01
T00399,O00399,2183,611.02,0.14
T00400,O00400,8238,1491.12,0.02
T00401,O00401,9839,1496.36,0.2
T00402,O00402,9677,1655.85,0.19
T00403,O00403,5721,1415.79,0.0
T00404,O00404,7877,2185.45,0.07
T00405,O00405,7297,1925.33,0.03
T00406,O00406,9096,1818.12,0.03
T00407,O00407,9163,3841.84,0.2
T00408,O00408,7383,1942.09,0.06
T00409,O00409,7481,2054.46,0.09
T00410,O00410,3042,837.67,0.01
T00411,O00411,7132,1639.94,0.03
T00412,O00412,3426,1155.59,0.14
T00413,O00413,9784,2913.24,0.08
T00414,O00414,8417,2562.61,0.09
T00415,O00415,2413,608.24,0.03
T00416,O00416,3723,882.65,0.16
T00417,O00417,4222,1053.91,0.06
T00418,O00418,1211,459.24,0.18
T00419,O00419,8117,3003.6,0.14
T00420,O00420,8680,2614.09,0.15
T00421,O00421,5683,967.69,0.14
T00422,O00422,1996,848.65,0.08
T00423,O00423,797,135.4,0.09
T00424,O00424,7498,1328.8,0.17
T00425,O00425,1294,325.88,0.16
T00426,O00426,5210,985.64,0.14
T00427,O00427,9666,1883.46,0.14
T00428,O00428,8859,3810.9,0.12
T00429,O00429,2929,1093.79,0.09
T00430,O00430,9053,3878.41,0.11
T00431,O00431,8575,3443.59,0.02
T00432,O00432,7913,2049.32,0.1
T00433,O00433,2402,896.6,0.14
T00434,O00434,7778,2960.69,0.1
T00435,O00435,2967,988.37,0.03
T00436,O00436,1557,537.97,0.01
T00437,O00437,902,258.61,0.0
T00438,O00438,6925,2982.94,0.01
T00439,O00439,9340,3850.38,0.17
T00440,O00440,4369,1656.98,0.11
T00441,O00441,5779,1091.7,0.05
T00442,O00442,7357,2678.69,0.14
T00443,O00443,6551,2059.82,0.01
T00444,O00444,4127,1621.79,0.17
T00445,O00445,4555,1856.05,0.09
T00446,O00446,1136,292.21,0.13
T00447,O00447,1239,214.41,0.13
T00448,O00448,3680,1614.45,0.16
T00449,O00449,6709,1771.87,0.07
T00450,O00450,9245,3741.77,0.09
T00451,O00451,8935,2674.71,0.16
T00452,O00452,7343,2812.39,0.11
T00453,O00453,5357,2246.67,0.07
T00454,O00454,7535,2302.04,0.03
T00455,O00455,5268,1424.27,0.14
T00456,O00456,9756,4353.63,0.15
T00457,O00457,8288,2523.3,0.19
T00458,O00458,5104,1093.64,0.13
T00459,O00459,2334,1000.34,0.17
T00460,O00460,2349,627.59,0.14
T00461,O00461,6293,1511.03,0.03
T00462,O00462,6467,2797.36,0.02
T00463,O00463,9703,2081.94,0.12
T00464,O00464,6184,2440.89,0.16
T00465,O00465,1418,588.66,0.16
T00466,O00466,7732,2066.04,0.04
T00467,O00467,8217,3600.72,0.09
T00468,O00468,7658,1208.03,0.06
T00469,O00469,4391,1967.11,0.1
T00470,O00470,3089,1296.15,0.16
T00471,O00471,4574,1861.0,0.1
T00472,O00472,5648,1383.45,0.05
T00473,O00473,7601,1480.93,0.0
T00474,O00474,1447,231.36,0.02
T00475,O00475,5199,1183.54,0.18
T00476,O00476,4595,1914.88,0.11
T00477,O00477,5009,1158.18,0.19
T00478,O00478,920,332.1,0.12
T00479,O00479,4307,1608.98,0.13
T00480,O00480,4018,888.34,0.09
T00481,O00481,9569,2920.69,0.07
T00482,O00482,4145,1535.74,0.08
T00483,O00483,9199,2548.72,0.07
T00484,O00484,4852,1520.05,0.08
T00485,O00485,8081,2213.94,0.04
T00486,O00486,6313,2635.39,0.05
T00487,O00487,5257,887.25,0.08
T00488,O00488,7047,3025.51,0.03
T00489,O00489,6126,1779.67,0.12
T00490,O00490,6041,2376.59,0.06
T00491,O00491,7594,3308.76,0.07
T00492,O00492,4287,1490.24,0.05
T00493,O00493,4082,1682.45,0.0
T00494,O00494,3197,789.33,0.03
T00495,O00495,6728,2667.02,0.1
T00496,O00496,4624,1791.77,0.05
T00497,O00497,3424,831.25,0.01
T00498,O00498,9559,1829.56,0.18
T00499,O00499,1757,595.38,0.17
T00500,O00500,4944,1670.49,0.08
T00501,O00501,656,288.09,0.11
T00502,O00502,9962,2224.28,0.17
T00503,O00503,2554,462.99,0.1
T00504,O00504,8632,1445.21,0.16
T00505,O00505,4232,1759.77,0.05
T00506,O00506,4232,1736.36,0.18
T00507,O00507,6692,2568.84,0.13
T00508,O00508,6954,1686.16,0.07
T00509,O00509,1324,501.65,0.02
T00510,O00510,1185,462.41,0.18
T00511,O00511,5511,2184.99,0.17
T00512,O00512,2829,659.87,0.05
T00513,O00513,8357,2870.38,0.16
T00514,O00514,4572,1802.47,0.19
T00515,O00515,3064,1029.78,0.03
T00516,O00516,2034,705.12,0.15
T00517,O00517,4537,1382.94,0.08
T00518,O00518,3877,1708.39,0.07
T00519,O00519,2044,401.06,0.07
T00520,O00520,4366,1650.01,0.11
T00521,O00521,7699,1529.13,0.08
T00522,O00522,6539,2643.11,0.01
T00523,O00523,8307,2503.44,0.06
T00524,O00524,8569,3546.2,0.11
T00525,O00525,3695,1023.19,0.19
T00526,O00526,1289,453.17,0.16
T00527,O00527,6997,2515.05,0.2
T00528,O00528,1609,406.29,0.17
T00529,O00529,4018,997.81,0.07
T00530,O00530,599,188.03,0.18
T00531,O00531,8924,2839.08,0.18
T00532,O00532,5046,1211.01,0.06
T00533,O00533,8186,2138.51,0.07
T00534,O00534,2703,852.16,0.18
T00535,O00535,9056,2318.51,0.05
T00536,O00536,3690,649.01,0.06
T00537,O00537,9668,2844.19,0.01
T00538,O00538,6348,1888.0,0.01
T00539,O00539,8528,3400.86,0.1
T00540,O00540,3960,1662.47,0.15
T00541,O00541,9359,1713.68,0.05
T00542,O00542,1697,509.8,0.03
T00543,O00543,1193,468.58,0.0
T00544,O00544,4860,767.17,0.02
T00545,O00545,4040,908.58,0.15
T00546,O00546,3963,1377.98,0.0
T00547,O00547,3707,1650.27,0.12
T00548,O00548,5428,1017.81,0.04
T00549,O00549,7107,2839.89,0.12
T00550,O00550,2388,1059.9,0.03
T00551,O00551,7291,1387.27,0.02
T00552,O00552,9528,3399.71,0.11
T00553,O00553,3629,1632.22,0.07
T00554,O00554,2290,472.13,0.04
T00555,O00555,6705,1152.26,0.01
T00556,O00556,5333,1036.41,0.18
T00557,O00557,9308,4072.38,0.11
T00558,O00558,4242,1793.97,0.15
T00559,O00559,9181,1944.95,0.05
T00560,O00560,6507,1425.24,0.1
T00561,O00561,3978,1730.43,0.05
T00562,O00562,9234,4007.6,0.16
T00563,O00563,6946,2354.9,0.0
T00564,O00564,7614,3250.23,0.17
T00565,O00565,9802,1685.02,0.14
T00566,O00566,4548,1484.31,0.06
T00567,O00567,9090,2738.2,0.17
T00568,O00568,1585,350.77,0.01
T00569,O00569,7129,2153.62,0.01
T00570,O00570,8730,2651.92,0.06
T00571,O00571,1189,407.06,0.06
T00572,O00572,2507,493.12,0.05
T00573,O00573,8449,1861.43,0.15
T00574,O00574,7965,2535.34,0.08
T00575,O00575,7457,2860.81,0.08
T00576,O00576,5322,1107.9,0.14
T00577,O00577,2013,777.29,0.1
T00578,O00578,6991,1376.05,0.01
T00579,O00579,501,141.56,0.11
T00580,O00580,4104,692.42,0.1
T00581,O00581,973,285.78,0.19
T00582,O00582,5052,847.32,0.05
T00583,O00583,7625,1627.66,0.17
T00584,O00584,733,137.66,0.05
T00585,O00585,5657,1356.45,0.13
T00586,O00586,2608,603.58,0.13
T00587,O00587,1951,395.38,0.11
T00588,O00588,3134,1211.65,0.07
T00589,O00589,4328,1683.8,0.03
T00590,O00590,7106,3134.65,0.11
T00591,O00591,2724,606.68,0.1
T00592,O00592,8910,1992.16,0.19
T00593,O00593,3642,672.65,0.02
T00594,O00594,6009,966.92,0.07
T00595,O00595,8590,2874.6,0.1
T00596,O00596,1852,446.39,0.17
T00597,O00597,8588,3112.93,0.04
T00598,O00598,2620,677.91,0.14
T00599,O00599,6569,2851.23,0.1
T00600,O00600,8796,3257.76,0.18
T00601,O00601,2691,621.77,0.07
T00602,O00602,2681,733.46,0.15
T00603,O00603,8943,2987.07,0.16
T00604,O00604,3295,1129.75,0.07
T00605,O00605,8775,2197.43,0.06
T00606,O00606,3789,1266.16,0.17
T00607,O00607,4694,1354.46,0.01
T00608,O00608,6458,2601.38,0.01
T00609,O00609,534,234.6,0.1
T00610,O00610,5968,2278.7,0.19
T00611,O00611,632,132.23,0.12
T00612,O00612,9094,1737.15,0.14
T00613,O00613,3055,467.08,0.13
T00614,O00614,5735,1494.47,0.17
T00615,O00615,3730,1556.99,0.14
T00616,O00616,2265,438.14,0.16
T00617,O00617,1512,431.46,0.04
T00618,O00618,1230,468.29,0.06
T00619,O00619,9523,1775.49,0.19
T00620,O00620,8150,2464.73,0.01
T00621,O00621,4954,1970.29,0.08
T00622,O00622,4743,712.95,0.0
T00623,O00623,2462,1089.2,0.15
T00624,O00624,5469,2459.61,0.13
T00625,O00625,8213,2811.73,0.05
T00626,O00626,5755,1157.54,0.1
T00627,O00627,6379,2429.65,0.13
T00628,O00628,3244,660.06,0.2
T00629,O00629,8825,2764.17,0.14
T00630,O00630,5497,901.72,0.12
T00631,O00631,7951,3541.01,0.11
T00632,O00632,8736,1799.82,0.02
T00633,O00633,7291,2282.48,0.1
T00634,O00634,1529,309.35,0.19
T00635,O00635,2763,427.49,0.09
T00636,O00636,3705,1529.45,0.13
T00637,O00637,3084,1044.64,0.1
T00638,O00638,1159,179.18,0.16
T00639,O00639,6100,2150.42,0.02
T00640,O00640,7194,2074.49,0.19
T00641,O00641,6773,2802.97,0.08
T00642,O00642,8075,2983.09,0.17
T00643,O00643,1846,521.38,0.03
T00644,O00644,8926,2869.21,0.18
T00645,O00645,3747,754.63,0.02
T00646,O00646,9058,2133.31,0.15
T00647,O00647,8097,1971.97,0.18
T00648,O00648,5086,1661.29,0.17
T00649,O00649,6134,924.6,0.06
T00650,O00650,3708,626.94,0.04
T00651,O00651,1678,635.38,0.17
T00652,O00652,3513,1146.27,0.17
T00653,O00653,8091,2503.83,0.06
T00654,O00654,2876,770.84,0.14
T00655,O00655,6478,2455.83,0.11
T00656,O00656,3775,967.86,0.09
T00657,O00657,5173,1187.24,0.03
T00658,O00658,719,186.41,0.14
T00659,O00659,9712,3281.56,0.07
T00660,O00660,3225,1036.23,0.15
T00661,O00661,7343,1254.99,0.06
T00662,O00662,8116,3414.8,0.06
T00663,O00663,6289,1763.57,0.11
T00664,O00664,6058,2662.97,0.19
T00665,O00665,1123,364.15,0.18
T00666,O00666,2459,869.59,0.07
T00667,O00667,7899,2966.27,0.07
T00668,O00668,3043,947.33,0.05
T00669,O00669,9442,3408.39,0.13
T00670,O00670,9018,1703.19,0.11
T00671,O00671,7114,2688.22,0.04
T00672,O00672,1885,547.77,0.04
T00673,O00673,8717,3612.57,0.04
T00674,O00674,9816,2461.02,0.14
T00675,O00675,6493,2058.72,0.12
T00676,O00676,989,156.67,0.12
T00677,O00677,7878,1733.22,0.16
T00678,O00678,2930,1091.9,0.08
T00679,O00679,2162,827.23,0.07
T00680,O00680,8538,2456.56,0.1
T00681,O00681,2990,898.26,0.19
T00682,O00682,9299,3190.16,0.16
T00683,O00683,3359,641.77,0.09
T00684,O00684,9041,3098.84,0.17
T00685,O00685,670,127.94,0.06
T00686,O00686,1371,505.49,0.11
T00687,O00687,2732,444.18,0.14
T00688,O00688,6400,2261.73,0.14
T00689,O00689,1256,536.88,0.15
T00690,O00690,6551,1347.48,0.2
T00691,O00691,3552,820.76,0.03
T00692,O00692,5673,2429.47,0.13
T00693,O00693,6897,1300.27,0.1
T00694,O00694,8959,2497.15,0.12
T00695,O00695,882,316.54,0.0
T00696,O00696,9669,4196.53,0.01
T00697,O00697,2236,401.6,0.08
T00698,O00698,718,310.08,0.04
T00699,O00699,2453,664.87,0.2
T00700,O00700,6296,2333.18,0.12
T00701,O00701,8907,3933.96,0.16
T00702,O00702,6145,1510.64,0.15
T00703,O00703,3563,1432.84,0.1
T00704,O00704,8105,2508.02,0.18
T00705,O00705,2160,413.42,0.08
T00706,O00706,4201,1539.39,0.06
T00707,O00707,4352,1474.86,0.08
T00708,O00708,5092,1568.57,0.03
T00709,O00709,8942,2705.15,0.13
T00710,O00710,4620,1574.6,0.15
