Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Transaction_ID,Revenue,Profit,Discount,Customer_Name,Region,Customer_Segment,Industry,Product_Name,Category,Unit_Cost
O00023,C0166,P003,2025-03-11,1,T00023,2908,721.56,0.14,Gonzalez-Graham,Midwest,Consumer,Finance,Network Equipment,Hardware,462
O00024,C0463,P002,2025-02-22,10,T00024,2938,804.16,0.1,Stark-Fuentes,South,Small Business,Technology,Cybersecurity Package,Software,207
O00025,C0405,P042,2025-02-21,2,T00025,9870,1983.48,0.07,Johnson Group,South,Consumer,Healthcare,Business Laptop,Hardware,992
O00026,C0272,P024,2025-02-28,8,T00026,3183,1248.39,0.18,Briggs LLC,South,Consumer,Retail,Analytics Consulting,Services,155
O00027,C0170,P019,2025-08-13,1,T00027,1425,371.95,0.19,Morgan PLC,Northeast,Consumer,Finance,Analytics Consulting,Services,292
O00028,C0021,P042,2025-11-13,2,T00028,6974,2177.26,0.13,Santiago LLC,West,Small Business,Finance,Business Laptop,Hardware,992
O00029,C0333,P045,2025-06-10,10,T00029,6999,2010.44,0.07,Bond and Sons,Northeast,Small Business,Retail,Business Laptop,Hardware,759
O00030,C0192,P018,2025-03-18,10,T00030,2684,733.55,0.09,"Bernard, Castillo and Proctor",West,Consumer,Retail,Cloud Analytics Platform,Software,101
O00031,C0244,P014,2025-02-19,5,T00031,9583,3057.53,0.2,Mcmillan-Cochran,South,Corporate,Finance,Cybersecurity Package,Software,645
O00032,C0474,P045,2025-05-18,8,T00032,8394,2339.33,0.12,Williams-Juarez,West,Consumer,Education,Business Laptop,Hardware,759
O00033,C0254,P031,2025-12-06,9,T00033,4930,1886.92,0.18,Foster-Brooks,South,Corporate,Media,Training Services,Services,918
O00034,C0448,P028,2025-07-19,6,T00034,8176,2300.9,0.03,Miller Inc,South,Small Business,Healthcare,Office Equipment,Hardware,818
O00035,C0428,P024,2025-10-04,8,T00035,6870,2498.42,0.08,Castro-Allen,West,Consumer,Media,Analytics Consulting,Services,155
O00036,C0357,P046,2025-09-19,4,T00036,913,290.16,0.16,Mccoy Inc,Northeast,Corporate,Education,Training Services,Services,381
O00037,C0228,P019,2025-11-03,3,T00037,6333,1404.66,0.08,Parker Group,South,Corporate,Education,Analytics Consulting,Services,292
O00038,C0208,P024,2025-03-16,10,T00038,1503,616.65,0.09,Gonzalez-Schmidt,West,Small Business,Education,Analytics Consulting,Services,155
O00039,C0346,P006,2025-10-07,9,T00039,2141,755.34,0.18,"Carlson, Perez and Smith",Midwest,Consumer,Healthcare,Analytics Consulting,Services,992
O00040,C0236,P020,2025-02-27,1,T00040,6544,1416.6,0.18,Parks Inc,Midwest,Consumer,Healthcare,Cybersecurity Package,Software,771
O00041,C0423,P018,2025-09-11,10,T00041,7063,1094.23,0.15,"Ward, Jordan and Wilson",South,Small Business,Education,Cloud Analytics Platform,Software,101
O00042,C0479,P006,2025-10-22,9,T00042,3635,929.26,0.05,"Hughes, Griffin and White",West,Consumer,Media,Analytics Consulting,Services,992
O00043,C0369,P028,2025-09-25,1,T00043,4024,1621.93,0.04,Harris-Blackburn,South,Consumer,Healthcare,Office Equipment,Hardware,818
O00044,C0014,P003,2025-12-24,3,T00044,5706,2078.71,0.15,Walker Ltd,Northeast,Consumer,Technology,Network Equipment,Hardware,462
O00045,C0417,P042,2025-09-25,1,T00045,9029,2965.78,0.12,Molina Group,South,Small Business,Healthcare,Business Laptop,Hardware,992
O00046,C0443,P013,2025-07-06,2,T00046,9696,3353.98,0.1,Sanchez PLC,West,Small Business,Education,Office Equipment,Hardware,453
O00047,C0088,P032,2025-03-12,4,T00047,9278,4116.68,0.12,"Duncan, Diaz and Hensley",Northeast,Corporate,Finance,Analytics Consulting,Services,411
O00048,C0003,P001,2025-03-23,10,T00048,2692,433.2,0.11,Stein-Adams,South,Corporate,Media,Cybersecurity Package,Software,409
O00049,C0253,P012,2025-01-27,1,T00049,7150,1856.9,0.16,James and Sons,Midwest,Corporate,Technology,Office Equipment,Hardware,892
O00050,C0370,P008,2025-02-18,6,T00050,6446,1084.31,0.13,Osborn-Poole,West,Corporate,Media,Business Laptop,Hardware,297
O00051,C0285,P044,2025-01-04,10,T00051,1522,230.95,0.01,Davis-Miranda,South,Corporate,Finance,Analytics Consulting,Services,723
O00052,C0387,P035,2025-04-04,3,T00052,3969,852.28,0.11,Williams-Cohen,South,Corporate,Technology,Analytics Consulting,Services,265
O00053,C0142,P016,2025-02-02,7,T00053,9694,2009.9,0.11,Jordan-Lara,South,Corporate,Finance,Analytics Consulting,Services,981
O00054,C0388,P012,2025-05-23,1,T00054,8680,2830.01,0.14,"Benson, Rose and Coleman",West,Small Business,Media,Office Equipment,Hardware,892
O00055,C0311,P043,2025-09-05,3,T00055,4813,750.07,0.13,Bush Ltd,Midwest,Small Business,Healthcare,Analytics Consulting,Services,331
O00056,C0014,P001,2025-06-12,7,T00056,6448,1591.68,0.16,Walker Ltd,Northeast,Consumer,Technology,Cybersecurity Package,Software,409
O00057,C0192,P042,2025-10-10,3,T00057,5735,1259.15,0.06,"Bernard, Castillo and Proctor",West,Consumer,Retail,Business Laptop,Hardware,992
O00058,C0095,P047,2025-11-14,4,T00058,5566,1946.5,0.16,Williams LLC,Northeast,Consumer,Media,Cloud Analytics Platform,Software,144
O00059,C0256,P002,2025-06-10,8,T00059,1857,534.51,0.15,Gonzales-Dorsey,South,Corporate,Finance,Cybersecurity Package,Software,207
O00060,C0103,P040,2025-04-19,10,T00060,3302,507.02,0.11,"Cameron, Gross and Fisher",West,Small Business,Healthcare,Training Services,Services,600
O00061,C0467,P042,2025-10-14,5,T00061,9230,3897.62,0.04,Reid Group,West,Small Business,Technology,Business Laptop,Hardware,992
O00062,C0352,P010,2025-04-24,10,T00062,2973,968.87,0.16,Meyers and Sons,South,Consumer,Education,Business Laptop,Hardware,351
O00063,C0265,P049,2025-06-14,1,T00063,7518,1311.67,0.09,Gonzalez-Gutierrez,Midwest,Small Business,Technology,Training Services,Services,891
O00064,C0371,P033,2025-04-30,7,T00064,987,172.54,0.19,Reid-Stein,Midwest,Corporate,Healthcare,Training Services,Services,705
O00065,C0430,P005,2025-10-21,1,T00065,2745,964.42,0.13,"Pitts, Hoffman and Randall",Midwest,Small Business,Finance,Cybersecurity Package,Software,272
O00066,C0291,P002,2025-02-18,8,T00066,2737,618.73,0.04,Miller Ltd,Midwest,Consumer,Media,Cybersecurity Package,Software,207
O00067,C0431,P023,2025-02-22,6,T00067,696,190.12,0.02,Wise Group,West,Consumer,Finance,Cybersecurity Package,Software,745
O00068,C0117,P011,2025-04-18,8,T00068,3610,1528.65,0.16,Brown and Sons,West,Corporate,Healthcare,Cloud Analytics Platform,Software,983
O00069,C0157,P046,2025-05-06,2,T00069,4879,1514.92,0.11,"Green, Smith and Benjamin",Midwest,Corporate,Education,Training Services,Services,381
O00070,C0454,P002,2025-03-15,10,T00070,5036,2034.15,0.08,"Henry, Scott and Church",Midwest,Consumer,Healthcare,Cybersecurity Package,Software,207
O00071,C0459,P017,2025-06-21,7,T00071,9620,2696.25,0.0,"Erickson, Chambers and Hamilton",West,Small Business,Education,Data Storage Solution,Software,928
O00072,C0200,P011,2025-04-21,3,T00072,1320,249.79,0.16,"Johns, Walker and Smith",South,Consumer,Healthcare,Cloud Analytics Platform,Software,983
O00073,C0244,P038,2025-03-16,5,T00073,2815,803.78,0.08,Mcmillan-Cochran,South,Corporate,Finance,Cybersecurity Package,Software,409
O00074,C0320,P041,2025-11-19,10,T00074,4136,1398.85,0.01,"Jones, Parker and Diaz",Northeast,Small Business,Retail,Cybersecurity Package,Software,905
O00075,C0298,P003,2025-10-23,9,T00075,3228,1354.74,0.14,Riley-Richards,Northeast,Corporate,Education,Network Equipment,Hardware,462
O00076,C0107,P025,2025-11-29,4,T00076,8703,3052.76,0.04,Pennington and Sons,Northeast,Small Business,Technology,Cloud Analytics Platform,Software,411
O00077,C0181,P049,2025-08-03,6,T00077,4842,1564.93,0.17,Garrison Ltd,South,Small Business,Retail,Training Services,Services,891
O00078,C0099,P021,2025-08-21,8,T00078,7232,1669.81,0.11,Huff Group,South,Consumer,Media,Analytics Consulting,Services,831
O00079,C0254,P013,2025-12-01,8,T00079,8777,2220.26,0.11,Foster-Brooks,South,Corporate,Media,Office Equipment,Hardware,453
O00080,C0376,P002,2025-05-18,8,T00080,1869,382.32,0.01,Olsen-Welch,West,Consumer,Healthcare,Cybersecurity Package,Software,207
O00081,C0216,P001,2025-09-02,5,T00081,5248,1548.56,0.09,Smith-Caldwell,West,Consumer,Healthcare,Cybersecurity Package,Software,409
O00082,C0266,P026,2025-11-24,4,T00082,4318,684.88,0.17,Barnett-Smith,South,Small Business,Finance,Training Services,Services,474
O00083,C0252,P034,2025-04-01,5,T00083,7979,1219.03,0.13,Davidson LLC,Midwest,Corporate,Media,Training Services,Services,250
O00084,C0458,P016,2025-08-22,3,T00084,5614,1085.09,0.04,Houston and Sons,Northeast,Corporate,Media,Analytics Consulting,Services,981
O00085,C0305,P046,2025-10-13,5,T00085,5890,2231.29,0.06,Lewis-Hughes,Northeast,Consumer,Healthcare,Training Services,Services,381
O00086,C0338,P038,2025-05-29,8,T00086,3826,1275.83,0.06,Mitchell Inc,Northeast,Small Business,Technology,Cybersecurity Package,Software,409
O00087,C0500,P017,2025-11-13,8,T00087,2991,1293.96,0.02,Beasley-Choi,South,Consumer,Technology,Data Storage Solution,Software,928
O00088,C0324,P042,2025-11-17,4,T00088,9555,3583.02,0.06,Dawson-Fowler,South,Consumer,Retail,Business Laptop,Hardware,992
O00089,C0375,P018,2025-01-11,1,T00089,3603,1330.99,0.04,"Diaz, Jackson and Ho",Northeast,Small Business,Finance,Cloud Analytics Platform,Software,101
O00090,C0169,P012,2025-03-23,7,T00090,5148,1248.24,0.02,"Brown, Hernandez and Buchanan",Midwest,Consumer,Media,Office Equipment,Hardware,892
O00091,C0465,P027,2025-10-22,10,T00091,4008,742.18,0.0,"Murphy, Ayala and Roth",Northeast,Corporate,Media,Analytics Consulting,Services,835
O00092,C0325,P038,2025-12-25,4,T00092,3452,760.61,0.16,Morales PLC,Northeast,Consumer,Technology,Cybersecurity Package,Software,409
O00093,C0313,P019,2025-03-19,8,T00093,5958,1637.15,0.05,Moore-Parsons,Midwest,Small Business,Retail,Analytics Consulting,Services,292
O00094,C0366,P008,2025-06-23,4,T00094,6508,2907.45,0.08,"Mcbride, Butler and Braun",Midwest,Small Business,Technology,Business Laptop,Hardware,297
O00095,C0392,P002,2025-06-10,4,T00095,535,145.55,0.14,"Gibson, Andrade and Evans",South,Consumer,Healthcare,Cybersecurity Package,Software,207
O00096,C0468,P033,2025-10-25,8,T00096,2198,523.33,0.1,Petty-Bond,Midwest,Consumer,Retail,Training Services,Services,705
O00097,C0328,P020,2025-03-12,4,T00097,1426,620.67,0.02,Howard LLC,West,Corporate,Education,Cybersecurity Package,Software,771
O00098,C0309,P034,2025-12-11,7,T00098,5132,1238.03,0.18,"Jackson, Morton and Walker",West,Corporate,Education,Training Services,Services,250
O00099,C0043,P019,2025-07-12,7,T00099,5863,1081.43,0.05,Jackson-Burke,South,Consumer,Healthcare,Analytics Consulting,Services,292
O00100,C0445,P005,2025-02-09,4,T00100,9029,2172.66,0.16,Suarez Group,South,Small Business,Technology,Cybersecurity Package,Software,272
O00101,C0096,P032,2025-07-30,10,T00101,7323,1558.63,0.1,Ray-Wilson,West,Small Business,Finance,Analytics Consulting,Services,411
O00102,C0124,P043,2025-03-24,10,T00102,5783,1793.53,0.18,Tyler-Woods,Northeast,Consumer,Healthcare,Analytics Consulting,Services,331
O00103,C0390,P006,2025-05-05,9,T00103,7051,2291.13,0.15,Williams-Blackwell,West,Small Business,Technology,Analytics Consulting,Services,992
O00104,C0086,P032,2025-03-28,9,T00104,9292,3303.59,0.15,Watkins Inc,South,Corporate,Media,Analytics Consulting,Services,411
O00105,C0184,P022,2025-01-29,3,T00105,7255,2651.96,0.17,"Castillo, Page and Middleton",South,Consumer,Healthcare,Business Laptop,Hardware,386
O00106,C0064,P039,2025-09-22,3,T00106,9548,1689.9,0.06,"Sparks, Warren and Dean",Northeast,Consumer,Finance,Office Equipment,Hardware,207
O00107,C0195,P035,2025-08-06,4,T00107,8865,1963.81,0.14,Cannon-Berg,Midwest,Consumer,Retail,Analytics Consulting,Services,265
O00108,C0367,P041,2025-11-13,6,T00108,3063,739.57,0.11,Rogers-Hogan,South,Consumer,Technology,Cybersecurity Package,Software,905
O00109,C0341,P017,2025-06-05,3,T00109,9910,2491.49,0.13,Mitchell-Wilson,West,Consumer,Media,Data Storage Solution,Software,928
O00110,C0220,P039,2025-02-25,2,T00110,9548,1815.46,0.03,Ramsey-Luna,South,Small Business,Education,Office Equipment,Hardware,207
O00111,C0164,P011,2025-08-21,10,T00111,1480,294.45,0.08,Lopez Group,Northeast,Consumer,Technology,Cloud Analytics Platform,Software,983
O00112,C0302,P012,2025-01-07,5,T00112,7120,1654.17,0.17,White-Fletcher,West,Small Business,Education,Office Equipment,Hardware,892
O00113,C0353,P040,2025-08-31,2,T00113,1064,233.94,0.0,"Wade, Carpenter and Armstrong",South,Small Business,Technology,Training Services,Services,600
O00114,C0358,P034,2025-09-02,6,T00114,2809,520.6,0.01,Adams-Taylor,West,Consumer,Media,Training Services,Services,250
O00115,C0140,P033,2025-11-20,4,T00115,3910,882.4,0.0,"Holmes, Campbell and Torres",Northeast,Corporate,Retail,Training Services,Services,705
O00116,C0207,P047,2025-03-24,6,T00116,1914,684.69,0.05,Davis Ltd,Midwest,Corporate,Healthcare,Cloud Analytics Platform,Software,144
O00117,C0326,P040,2025-04-14,3,T00117,6420,1053.28,0.01,"Atkins, Powell and Norman",West,Corporate,Finance,Training Services,Services,600
O00118,C0153,P036,2025-01-04,2,T00118,3507,798.24,0.06,"Anthony, Mcintyre and Mills",Northeast,Consumer,Retail,Training Services,Services,663
O00119,C0023,P023,2025-07-17,8,T00119,3273,1033.53,0.04,Potter-Phillips,Northeast,Consumer,Education,Cybersecurity Package,Software,745
O00120,C0409,P017,2025-07-09,1,T00120,3444,665.43,0.12,Clark-Lara,Northeast,Corporate,Healthcare,Data Storage Solution,Software,928
O00121,C0485,P007,2025-10-17,2,T00121,9620,3821.83,0.19,Stephens LLC,West,Corporate,Media,Data Storage Solution,Software,457
O00122,C0419,P023,2025-01-03,10,T00122,7690,1217.67,0.14,Walker-Ruiz,Northeast,Corporate,Media,Cybersecurity Package,Software,745
O00123,C0198,P040,2025-05-15,4,T00123,3448,563.95,0.02,Ward-Fischer,Midwest,Consumer,Finance,Training Services,Services,600
O00124,C0059,P031,2025-06-18,7,T00124,7888,1984.09,0.09,Zavala-Garcia,Midwest,Consumer,Technology,Training Services,Services,918
O00125,C0096,P041,2025-05-17,2,T00125,7146,1809.19,0.2,Ray-Wilson,West,Small Business,Finance,Cybersecurity Package,Software,905
O00126,C0038,P030,2025-01-24,5,T00126,6461,2359.75,0.14,"Baker, Haynes and Harding",West,Corporate,Retail,Cloud Analytics Platform,Software,605
O00127,C0313,P025,2025-02-05,3,T00127,5833,1650.94,0.02,Moore-Parsons,Midwest,Small Business,Retail,Cloud Analytics Platform,Software,411
O00128,C0431,P020,2025-07-02,10,T00128,9774,3488.82,0.1,Wise Group,West,Consumer,Finance,Cybersecurity Package,Software,771
O00129,C0372,P022,2025-08-11,3,T00129,7693,1703.41,0.19,Griffin PLC,Midwest,Consumer,Healthcare,Business Laptop,Hardware,386
O00130,C0487,P045,2025-12-16,3,T00130,2047,494.05,0.15,Olson Ltd,Midwest,Small Business,Education,Business Laptop,Hardware,759
O00131,C0222,P030,2025-03-28,4,T00131,2660,678.63,0.03,"Patrick, Potts and Conley",Northeast,Small Business,Media,Cloud Analytics Platform,Software,605
O00132,C0419,P029,2025-07-22,6,T00132,653,281.59,0.05,Walker-Ruiz,Northeast,Corporate,Media,Cybersecurity Package,Software,719
O00133,C0051,P007,2025-10-31,1,T00133,4073,1594.73,0.05,Gardner-Richards,West,Corporate,Technology,Data Storage Solution,Software,457
O00134,C0100,P011,2025-04-04,7,T00134,9425,2782.23,0.02,"Schwartz, Hahn and Moreno",Northeast,Consumer,Finance,Cloud Analytics Platform,Software,983
O00135,C0056,P040,2025-10-04,7,T00135,5165,1213.67,0.12,Booth PLC,West,Consumer,Technology,Training Services,Services,600
O00136,C0048,P022,2025-10-28,7,T00136,5063,848.56,0.05,"Chavez, Rodriguez and Sullivan",South,Consumer,Education,Business Laptop,Hardware,386
O00137,C0082,P013,2025-09-12,3,T00137,2087,741.02,0.17,Davenport-Webb,West,Small Business,Retail,Office Equipment,Hardware,453
O00138,C0234,P009,2025-10-27,6,T00138,2270,864.81,0.09,Wilson PLC,Midwest,Consumer,Healthcare,Training Services,Services,496
O00139,C0154,P005,2025-04-01,5,T00139,597,194.72,0.15,"Lopez, Gonzales and Tyler",West,Consumer,Finance,Cybersecurity Package,Software,272
O00140,C0048,P043,2025-12-21,7,T00140,4607,1192.59,0.11,"Chavez, Rodriguez and Sullivan",South,Consumer,Education,Analytics Consulting,Services,331
O00141,C0222,P045,2025-11-21,10,T00141,1285,402.02,0.2,"Patrick, Potts and Conley",Northeast,Small Business,Media,Business Laptop,Hardware,759
O00142,C0213,P004,2025-10-29,2,T00142,9055,2187.62,0.15,Steele-Johnston,Northeast,Consumer,Retail,Business Laptop,Hardware,583
O00143,C0427,P024,2025-11-13,4,T00143,7628,2744.88,0.04,Nash LLC,Midwest,Small Business,Technology,Analytics Consulting,Services,155
O00144,C0378,P049,2025-02-10,3,T00144,1970,649.45,0.05,Rowe LLC,Northeast,Corporate,Healthcare,Training Services,Services,891
O00145,C0059,P001,2025-11-30,10,T00145,8187,1613.67,0.19,Zavala-Garcia,Midwest,Consumer,Technology,Cybersecurity Package,Software,409
O00146,C0478,P006,2025-11-04,3,T00146,3475,565.99,0.12,Walker LLC,Midwest,Consumer,Media,Analytics Consulting,Services,992
O00147,C0012,P012,2025-08-07,6,T00147,5316,1397.38,0.19,Morgan-Ewing,Northeast,Consumer,Retail,Office Equipment,Hardware,892
O00148,C0133,P034,2025-09-27,8,T00148,8625,3403.92,0.04,Day-West,Midwest,Consumer,Media,Training Services,Services,250
O00149,C0057,P043,2025-03-26,8,T00149,1840,455.26,0.17,Holland and Sons,Northeast,Small Business,Healthcare,Analytics Consulting,Services,331
O00150,C0396,P030,2025-06-23,7,T00150,6053,2529.57,0.05,Martinez PLC,South,Small Business,Media,Cloud Analytics Platform,Software,605
O00151,C0418,P002,2025-01-01,8,T00151,6634,2631.46,0.1,"James, Snyder and Rodriguez",South,Consumer,Technology,Cybersecurity Package,Software,207
O00152,C0160,P005,2025-01-23,8,T00152,5046,2092.7,0.13,Hayes-Kelley,South,Small Business,Technology,Cybersecurity Package,Software,272
O00153,C0313,P047,2025-09-07,8,T00153,1001,170.25,0.0,Moore-Parsons,Midwest,Small Business,Retail,Cloud Analytics Platform,Software,144
O00154,C0426,P049,2025-11-28,5,T00154,1898,675.72,0.12,Ball and Sons,South,Corporate,Finance,Training Services,Services,891
O00155,C0302,P003,2025-10-12,3,T00155,7782,2010.41,0.19,White-Fletcher,West,Small Business,Education,Network Equipment,Hardware,462
O00156,C0053,P007,2025-12-30,9,T00156,3821,947.69,0.18,Graham-Smith,Midwest,Small Business,Education,Data Storage Solution,Software,457
O00157,C0166,P048,2025-10-30,2,T00157,7671,2953.28,0.04,Gonzalez-Graham,Midwest,Consumer,Finance,Cloud Analytics Platform,Software,986
O00158,C0212,P022,2025-07-05,5,T00158,2198,453.7,0.16,"Garcia, Anderson and Watson",Midwest,Corporate,Finance,Business Laptop,Hardware,386
O00159,C0458,P013,2025-11-24,7,T00159,2569,554.78,0.11,Houston and Sons,Northeast,Corporate,Media,Office Equipment,Hardware,453
O00160,C0277,P018,2025-06-30,2,T00160,2098,677.68,0.06,Haney LLC,West,Small Business,Education,Cloud Analytics Platform,Software,101
O00161,C0464,P039,2025-09-05,2,T00161,715,211.82,0.14,Williams Group,Midwest,Corporate,Technology,Office Equipment,Hardware,207
O00162,C0088,P039,2025-10-02,5,T00162,8145,3485.17,0.05,"Duncan, Diaz and Hensley",Northeast,Corporate,Finance,Office Equipment,Hardware,207
O00163,C0405,P039,2025-01-04,8,T00163,7501,1608.52,0.13,Johnson Group,South,Consumer,Healthcare,Office Equipment,Hardware,207
O00164,C0366,P010,2025-02-21,1,T00164,3642,802.1,0.03,"Mcbride, Butler and Braun",Midwest,Small Business,Technology,Business Laptop,Hardware,351
O00165,C0229,P038,2025-03-21,4,T00165,4622,1067.73,0.13,Wright-Henry,Northeast,Consumer,Education,Cybersecurity Package,Software,409
O00166,C0344,P003,2025-08-18,4,T00166,4809,1460.84,0.2,Reed Inc,Midwest,Small Business,Technology,Network Equipment,Hardware,462
O00167,C0436,P004,2025-08-22,8,T00167,2197,350.93,0.01,"Rubio, Lam and Smith",West,Consumer,Finance,Business Laptop,Hardware,583
O00168,C0106,P022,2025-02-22,6,T00168,9295,2162.55,0.19,"Stevens, Weaver and Estes",West,Small Business,Media,Business Laptop,Hardware,386
O00169,C0343,P034,2025-09-28,6,T00169,9293,3881.13,0.2,"Wheeler, Cruz and Rogers",Northeast,Consumer,Technology,Training Services,Services,250
O00170,C0134,P047,2025-07-17,5,T00170,3130,524.19,0.11,Edwards-Long,West,Small Business,Media,Cloud Analytics Platform,Software,144
O00171,C0062,P015,2025-02-18,5,T00171,8850,3274.71,0.0,Roberts-Robinson,Northeast,Consumer,Technology,Business Laptop,Hardware,495
O00172,C0315,P031,2025-12-14,8,T00172,5472,1509.65,0.04,Ramirez Ltd,South,Corporate,Education,Training Services,Services,918
O00173,C0498,P036,2025-03-11,6,T00173,6901,1818.39,0.11,"Marshall, Miller and Hester",Midwest,Consumer,Education,Training Services,Services,663
O00174,C0060,P050,2025-04-29,2,T00174,505,120.19,0.1,Moore-Dillon,South,Small Business,Finance,Office Equipment,Hardware,986
O00175,C0387,P007,2025-07-19,3,T00175,4426,1178.69,0.02,Williams-Cohen,South,Corporate,Technology,Data Storage Solution,Software,457
O00176,C0006,P014,2025-10-22,3,T00176,6929,1051.15,0.09,Anderson and Sons,Northeast,Consumer,Retail,Cybersecurity Package,Software,645
O00177,C0246,P031,2025-01-06,9,T00177,5210,896.53,0.03,"Graham, Edwards and Willis",Northeast,Consumer,Retail,Training Services,Services,918
O00178,C0034,P014,2025-08-22,4,T00178,6814,3030.06,0.11,Boyd Inc,Midwest,Small Business,Retail,Cybersecurity Package,Software,645
O00179,C0130,P002,2025-11-02,10,T00179,5063,1424.08,0.15,Hernandez-Reid,Midwest,Consumer,Media,Cybersecurity Package,Software,207
O00180,C0413,P002,2025-01-03,2,T00180,7210,1815.11,0.12,"Hull, Rodriguez and Mays",South,Consumer,Retail,Cybersecurity Package,Software,207
O00181,C0386,P027,2025-11-27,9,T00181,5268,1518.61,0.01,"Aguirre, Lambert and Mitchell",Northeast,Small Business,Healthcare,Analytics Consulting,Services,835
O00182,C0456,P040,2025-09-27,6,T00182,2985,719.21,0.11,Daniels-Smith,South,Consumer,Healthcare,Training Services,Services,600
O00183,C0032,P039,2025-02-25,3,T00183,2688,1078.43,0.11,Stewart-Garza,West,Small Business,Retail,Office Equipment,Hardware,207
O00184,C0393,P007,2025-04-19,9,T00184,6844,2314.65,0.06,"Smith, Harris and Mays",West,Corporate,Retail,Data Storage Solution,Software,457
O00185,C0426,P017,2025-07-12,4,T00185,900,168.27,0.17,Ball and Sons,South,Corporate,Finance,Data Storage Solution,Software,928
O00186,C0055,P023,2025-01-17,1,T00186,6702,1657.25,0.02,Brown and Sons,Northeast,Consumer,Education,Cybersecurity Package,Software,745
O00187,C0220,P019,2025-01-14,8,T00187,9186,3633.86,0.18,Ramsey-Luna,South,Small Business,Education,Analytics Consulting,Services,292
O00188,C0209,P037,2025-12-03,8,T00188,8681,3081.86,0.12,Wells and Sons,West,Corporate,Education,Network Equipment,Hardware,111
O00189,C0103,P027,2025-06-17,4,T00189,7431,3033.32,0.02,"Cameron, Gross and Fisher",West,Small Business,Healthcare,Analytics Consulting,Services,835
O00190,C0087,P041,2025-12-22,7,T00190,4387,1540.42,0.16,Smith LLC,South,Consumer,Media,Cybersecurity Package,Software,905
O00191,C0141,P014,2025-07-18,4,T00191,3263,529.59,0.1,"Foster, Burns and Johnson",South,Small Business,Education,Cybersecurity Package,Software,645
